input,normalized
대구시북,대구시북구
대구시서구,대구시서구
대구시서,대구시서구
대구시수성구,대구시수성구
대구시수성,대구시수성구
대구시중구,대구시중구
대구시중,대구시중구
대덕구,대덕구
대덕,대덕구
대덕군,대덕군
대덕,대덕군
대전시,대전시
대전,대전시
대전시동구,대전시동구
대전시동,대전시동구
대전시서구,대전시서구
대전시서,대전시서구
대전시중구,대전시중구
대전시중,대전시중구
대천시,대천시
대천,대천시
도봉구,도봉구
도봉,도봉구
동광양시,동광양시
동광양,동광양시
동구,동구
동,동구
동구안심출장,동구안심출장
동대문구,동대문구
동대문,동대문구
동두천시,동두천시
동두천,동두천시
동래구,동래구
동래,동래구
동래군,동래군
동래,동래군
동작구,동작구
동작,동작구
동해시,동해시
동해,동해시
마산시,마산시
마산,마산시
마산시합포구,마산시합포구
마산시합포,마산시합포구
마산시회원구,마산시회원구
마산시회원,마산시회원구
마포구,마포구
마포,마포구
명주군,명주군
명주,명주군
목포시,목포시
목포,목포시
무안군,무안군
무안,무안군
무주군,무주군
무주,무주군
문경군,문경군
문경,문경군
문경시,문경시
문경,문경시
미금시,미금시
미금,미금시
미추홀구,미추홀구
미추홀,미추홀구
밀양군,밀양군
밀양,밀양군
밀양시,밀양시
밀양,밀양시
보령군,보령군
보령,보령군
보령시,보령시
보령,보령시
보성군,보성군
보성,보성군
보은군,보은군
보은,보은군
봉화군,봉화군
봉화,봉화군
부산시,부산시
부산,부산시
부산시동구,부산시동구
부산시동,부산시동구
부산시동래구,부산시동래구
부산시동래,부산시동래구
부산시부산진,부산시부산진
부산시서구,부산시서구
부산시서,부산시서구
부산시영도구,부산시영도구
부산시영도,부산시영도구
부산시중구,부산시중구
부산시중,부산시중구
부산진구,부산진구
부산진,부산진구
부안군,부안군
부안,부안군
부여군,부여군
부여,부여군
부천군,부천군
부천,부천군
부천시,부천시
부천,부천시
부천시남구,부천시남구
부천시남,부천시남구
부천시소사구,부천시소사구
부천시소사,부천시소사구
부천시오정구,부천시오정구
부천시오정,부천시오정구
부천시원미구,부천시원미구
부천시원미,부천시원미구
부천시중구,부천시중구
부천시중,부천시중구
부평구,부평구
부평,부평구
북구,북구
북,북구
북구계양출장,북구계양출장
북구칠곡출장,북구칠곡출장
북제주군,북제주군
북제주,북제주군
사상구,사상구
사상,사상구
사천군,사천군
사천,사천군
사천남양출장,사천남양출장
사천시,사천시
사천,사천시
사하구,사하구
사하,사하구
산청군,산청군
산청,산청군
삼척군,삼척군
삼척,삼척군
삼척시,삼척시
삼척,삼척시
삼천포남양출,삼천포남양출
삼천포시,삼천포시
삼천포,삼천포시
상주군,상주군
상주,상주군
상주시,상주시
상주,상주시
서구,서구
서,서구
서구검단출장,서구검단출장
서귀포시,서귀포시
서귀포,서귀포시
서대문구,서대문구
서대문,서대문구
서산군,서산군
서산,서산군
서산시,서산시
서산,서산시
서천군,서천군
서천,서천군
서초구,서초구
서초,서초구
선산군,선산군
선산,선산군
성남시,성남시
성남,성남시
성남시분당구,성남시분당구
성남시분당,성남시분당구
성남시수정구,성남시수정구
성남시수정,성남시수정구
성남시중원구,성남시중원구
성남시중원,성남시중원구
성동구,성동구
성동,성동구
성북구,성북구
성북,성북구
성주군,성주군
성주,성주군
세종시,세종시
세종,세종시
속초시,속초시
속초,속초시
송정시,송정시
송정,송정시
송탄시,송탄시
송탄,송탄시
송파구,송파구
송파,송파구
수성구,수성구
수성,수성구
수영구,수영구
수영,수영구
수원시,수원시
수원,수원시
수원시권선구,수원시권선구
수원시권선,수원시권선구
수원시영통구,수원시영통구
수원시영통,수원시영통구
수원시장안구,수원시장안구
수원시장안,수원시장안구
수원시팔달구,수원시팔달구
수원시팔달,수원시팔달구
순창군,순창군
순창,순창군
순천시,순천시
순천,순천시
승주군,승주군
승주,승주군
시흥군,시흥군
시흥,시흥군
시흥시,시흥시
시흥,시흥시
신안군,신안군
신안,신안군
신안동시,신안동시
신안동,신안동시
아산군,아산군
아산,아산군
아산시,아산시
아산,아산시
안동군,안동군
안동,안동군
안동시,안동시
안동,안동시
안산시,안산시
안산,안산시
안산시단원구,안산시단원구
안산시단원,안산시단원구
안산시상록구,안산시상록구
안산시상록,안산시상록구
안성군,안성군
안성,안성군
안성시,안성시
안성,안성시
안양시,안양시
안양,안양시
안양시동안구,안양시동안구
안양시동안,안양시동안구
안양시동안출,안양시동안출
안양시만안구,안양시만안구
안양시만안,안양시만안구
안양시만안출,안양시만안출
양구군,양구군
양구,양구군
양산군,양산군
양산,양산군
양산시,양산시
양산,양산시
양양군,양양군
양양,양양군
양주군,양주군
양주,양주군
양주시,양주시
양주,양주시
양천구,양천구
양천,양천구
양평군,양평군
양평,양평군
여수시,여수시
여수,여수시
여주군,여주군
여주,여주군
여주시,여주시
여주,여주시
여천군,여천군
여천,여천군
여천시,여천시
여천,여천시
연기군,연기군
연기,연기군
연수구,연수구
연수,연수구
연제구,연제구
연제,연제구
연천군,연천군
연천,연천군
영광군,영광군
영광,영광군
영덕군,영덕군
영덕,영덕군
영도구,영도구
영도,영도구
영동군,영동군
영동,영동군
영등포구,영등포구
영등포,영등포구
영암군,영암군
영암,영암군
영양군,영양군
영양,영양군
영월군,영월군
영월,영월군
영일군,영일군
영일,영일군
영주군,영주군
영주,영주군
영주시,영주시
영주,영주시
영천군,영천군
영천,영천군
영천시,영천시
영천,영천시
영풍군,영풍군
영풍,영풍군
예산군,예산군
예산,예산군
예천군,예천군
예천,예천군
오산시,오산시
오산,오산시
옥구군,옥구군
옥구,옥구군
옥천군,옥천군
옥천,옥천군
온양시,온양시
온양,온양시
옹진군,옹진군
옹진,옹진군
완도군,완도군
완도,완도군
완주군,완주군
완주,완주군
용산구,용산구
용산,용산구
용인군,용인군
용인,용인군
용인시,용인시
용인,용인시
용인시기흥구,용인시기흥구
용인시기흥,용인시기흥구
용인시수지구,용인시수지구
용인시수지,용인시수지구
용인시수지출,용인시수지출
용인시처인구,용인시처인구
용인시처인,용인시처인구
울릉군,울릉군
울릉,울릉군
울산군,울산군
울산,울산군
울산시,울산시
울산,울산시
울산시남구,울산시남구
울산시남,울산시남구
울산시동구,울산시동구
울산시동,울산시동구
울산시울주구,울산시울주구
울산시울주,울산시울주구
울산시중구,울산시중구
울산시중,울산시중구
울주군,울주군
울주,울주군
울진군,울진군
울진,울진군
원성군,원성군
원성,원성군
원주군,원주군
원주,원주군
원주시,원주시
원주,원주시
월성군,월성군
월성,월성군
유성구,유성구
유성,유성구
은평구,은평구
은평,은평구
음성군,음성군
음성,음성군
의령군,의령군
의령,의령군
의성군,의성군
의성,의성군
의왕시,의왕시
의왕,의왕시
의정부시,의정부시
의정부,의정부시
의창군,의창군
의창,의창군
이리시,이리시
이리,이리시
이천군,이천군
이천,이천군
이천시,이천시
이천,이천시
익산군,익산군
익산,익산군
익산시,익산시
익산,익산시
익산시함열출,익산시함열출
인제군,인제군
인제,인제군
인천시,인천시
인천,인천시
인천시남구,인천시남구
인천시남,인천시남구
인천시동구,인천시동구
인천시동,인천시동구
인천시북구,인천시북구
인천시북,인천시북구
인천시중구,인천시중구
인천시중,인천시중구
임실군,임실군
임실,임실군
장성군,장성군
장성,장성군
장수군,장수군
장수,장수군
장승포시,장승포시
장승포,장승포시
장흥군,장흥군
장흥,장흥군
전주시,전주시
전주,전주시
전주시덕진구,전주시덕진구
전주시덕진,전주시덕진구
전주시완산구,전주시완산구
전주시완산,전주시완산구
전주시효자출,전주시효자출
점촌시,점촌시
점촌,점촌시
정선군,정선군
정선,정선군
정읍군,정읍군
정읍,정읍군
정읍시,정읍시
정읍,정읍시
정주시,정주시
정주,정주시
제원군,제원군
제원,제원군
제주시,제주시
제주,제주시
제천군,제천군
제천,제천군
제천시,제천시
제천,제천시
종로구,종로구
종로,종로구
중구,중구
중,중구
중구영종출장,중구영종출장
중구용유출장,중구용유출장
중랑구,중랑구
중랑,중랑구
중원군,중원군
중원,중원군
증평군,증평군
증평,증평군
증평출장소,증평출장소
진도군,진도군
진도,진도군
진안군,진안군
진안,진안군
진양군,진양군
진양,진양군
진주시,진주시
진주,진주시
진천군,진천군
진천,진천군
진해시,진해시
진해,진해시
진해시웅동출,진해시웅동출
진해시웅천출,진해시웅천출
창녕군,창녕군
창녕,창녕군
창원군,창원군
창원,창원군
창원시,창원시
창원,창원시
창원시마산합포구,창원시마산합포구
창원시마산합포,창원시마산합포구
창원시마산회원구,창원시마산회원구
창원시마산회원,창원시마산회원구
창원시성산구,창원시성산구
창원시성산,창원시성산구
창원시의창구,창원시의창구
창원시의창,창원시의창구
창원시진해구,창원시진해구
창원시진해,창원시진해구
천안군,천안군
천안,천안군
천안시,천안시
천안,천안시
천안시동남구,천안시동남구
천안시동남,천안시동남구
천안시서북구,천안시서북구
천안시서북,천안시서북구
천원군,천원군
천원,천원군
철원군,철원군
철원,철원군
청도군,청도군
청도,청도군
청송군,청송군
청송,청송군
청양군,청양군
청양,청양군
청원군,청원군
청원,청원군
청주시,청주시
청주,청주시
청주시동부출,청주시동부출
청주시상당구,청주시상당구
청주시상당,청주시상당구
청주시서부출,청주시서부출
청주시서원구,청주시서원구
청주시서원,청주시서원구
청주시청원구,청주시청원구
청주시청원,청주시청원구
청주시흥덕구,청주시흥덕구
청주시흥덕,청주시흥덕구
춘성군,춘성군
춘성,춘성군
춘천군,춘천군
춘천,춘천군
춘천시,춘천시
춘천,춘천시
충무시,충무시
충무,충무시
충주시,충주시
충주,충주시
칠곡군,칠곡군
칠곡,칠곡군
태백시,태백시
태백,태백시
태안군,태안군
태안,태안군
통영군,통영군
통영,통영군
통영시,통영시
통영,통영시
파주군,파주군
파주,파주군
파주시,파주시
파주,파주시
평창군,평창군
평창,평창군
평택군,평택군
평택,평택군
평택시,평택시
평택,평택시
포천군,포천군
포천,포천군
포천시,포천시
포천,포천시
포항시,포항시
포항,포항시
포항시남구,포항시남구
포항시남,포항시남구
포항시북구,포항시북구
포항시북,포항시북구
하남시,하남시
하남,하남시
하동군,하동군
하동,하동군
함안군,함안군
함안,함안군
함양군,함양군
함양,함양군
함평군,함평군
함평,함평군
합천군,합천군
합천,합천군
해남군,해남군
해남,해남군
해운대구,해운대구
해운대,해운대구
홍성군,홍성군
홍성,홍성군
홍천군,홍천군
홍천,홍천군
화성군,화성군
화성,화성군
화성시,화성시
화성,화성시
화순군,화순군
화순,화순군
화천군,화천군
화천,화천군
횡성군,횡성군
횡성,횡성군
